sub_icb_location_code,sub_icb_location_ons_code,sub_icb_location_name,icb_ons_code,region_ons_code,appointment_date,actual_duration,count_of_appointments
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,01-Dec-21,31-60 Minutes,364
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,01-Dec-21,21-30 Minutes,619
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,01-Dec-21,6-10 Minutes,1698
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,01-Dec-21,Unknown / Data Quality,1277
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,01-Dec-21,16-20 Minutes,730
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,01-Dec-21,11-15 Minutes,1073
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,01-Dec-21,1-5 Minutes,1539
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,02-Dec-21,21-30 Minutes,601
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,02-Dec-21,Unknown / Data Quality,1391
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,02-Dec-21,11-15 Minutes,1139
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,02-Dec-21,1-5 Minutes,1380
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,02-Dec-21,6-10 Minutes,1578
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,02-Dec-21,31-60 Minutes,400
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,02-Dec-21,16-20 Minutes,706
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,03-Dec-21,1-5 Minutes,1409
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,03-Dec-21,16-20 Minutes,651
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,03-Dec-21,6-10 Minutes,1564
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,03-Dec-21,Unknown / Data Quality,1237
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,03-Dec-21,21-30 Minutes,614
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,03-Dec-21,31-60 Minutes,378
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,03-Dec-21,11-15 Minutes,1066
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Dec-21,31-60 Minutes,6
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Dec-21,16-20 Minutes,24
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Dec-21,6-10 Minutes,42
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Dec-21,Unknown / Data Quality,41
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Dec-21,1-5 Minutes,129
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Dec-21,11-15 Minutes,24
